scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-0.95419687,0.504413188,0.0558939278,0.500254452,-1,0.807954609,0.101813234,0.790167809,-0.915138721,1,0.0414028168,1,-0.837640584,0.316363335,1,0.313126773,0.137132764,0.135860801,0.134426475,0.112916641,0.0664788038,0.0894235969,0.027851684,0.0238309875,0.0113317175,0.00024291873,2
-0.757246137,0.501288176,0.0553174801,0.495475978,-0.631603479,0.877521813,0.0015014261,0.862978518,-0.727262378,1,1,1,-1,0.210519224,0.789658844,0.203015491,0.160887748,0.152567178,0.0663961992,0.063712135,0.121786185,0.0831441432,0.0464856215,0.0378429145,0.0170874093,0.000262916088,2
0.238143474,0.457941711,0.0398992933,0.450605571,0.0861300528,0.824450493,0.278864175,0.79797709,1,1,0.826621711,1,-0.674641967,0.241351828,1,0.225457788,0.240678221,0.212353542,0.151147723,0.163695246,0.100016505,0.0793192536,0.0156114791,0.0118561434,0.0190162249,7.29262829E-05,2
-0.560972571,0.475241184,0.0777372643,0.48524338,-0.502625644,0.803664565,0.172190875,0.825328112,-1,1,0.376252174,1,-0.195951194,0.245879754,1,0.260739923,0.308215916,0.320564777,0.252008736,0.264211535,0.215795457,0.187682018,0.0939633846,0.0793518424,0.00556839863,7.0810318E-05,2
0.586298048,0.450490862,0.339446723,0.463365883,1,0.764700413,0.398359269,0.813958466,0.258116156,1,1,1,-0.167242005,0.258408278,0.0938410908,0.250453591,0.270067543,0.243868381,0.226516291,0.192511082,0.132837951,0.103042409,0.0431470685,0.0324844606,0.055420395,9.89437103E-06,2
-0.405635506,0.502080262,0.0156926904,0.487116635,-1,0.917348266,0.0919953957,0.846435547,-0.0682634041,1,1,1,-0.775462866,0.368884295,0.245351538,0.344894588,0.523677051,0.451209128,0.534110487,0.46783179,0.359120667,0.291011214,0.161829934,0.0042621023,0.123668447,0.000112384558,2
-0.177144751,0.359881669,0.0896532238,0.35992831,-0.121753633,0.668208838,0.811541915,0.663671374,-0.373690426,1,1,1,1,0.387373328,0.69684118,0.454090118,0.243411198,0.230457768,0.141274258,0.122172207,0.0684004724,0.0572723411,0.0185199622,0.0149993077,0.00396637479,8.02874565E-05,2
0.237570837,0.381408632,0.0156513564,0.383441627,0.381237,0.715687811,0.407742769,0.706491351,0.513159513,1,1,1,-1,0.609741092,0.612227201,0.573789537,0.243768558,0.217675924,0.208213508,0.205061987,0.0572349243,0.0544538237,0.019135328,0.0149042243,0.0391067192,1.58250332E-05,2
0.751183748,0.393499076,0.0723066479,0.400671184,1,0.701459706,0.832822621,0.719281316,0.453520685,1,0.531275094,1,-0.130638063,0.563805759,1,0.554619193,0.406518698,0.351639211,0.488109797,0.418268353,0.319039881,0.274733394,0.0398735069,0.0307285786,0.0491161011,6.15715981E-05,2
-1,0.402254224,0.00876360945,0.40533343,-0.601701081,0.728467822,0.167225435,0.741145253,-0.954064965,1,0.423321873,1,-0.189050958,0.406201243,1,0.411197931,0.245567083,0.250061929,0.129316494,0.112796202,0.0323737971,0.0279709473,0.0143396622,0.00109127816,0.00842411444,0.000414818525,2
